frame.number,frame.time_epoch,frame.len,frame.cap_len,frame.protocols,_ws.col.protocol,eth.src,eth.dst,eth.type,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,ipv6.nxt,tcp.stream,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.analysis.retransmission,udp.stream,udp.srcport,udp.dstport,udp.length,dns.id,dns.flags.response,dns.qry.name,dns.qry.type,dns.a,dns.aaaa,tls.record.content_type,tls.record.opaque_type,tls.handshake.type,tls.handshake.extensions_server_name,tls.handshake.extensions_alpn_str,http.request.method,http.host,http.request.uri,http.response.code,http.content_type,quic.version,_ws.expert.message,_ws.col.info
"11","1700000010.110000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"12","1700000011.111000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"3","40012","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40012 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"13","1700000012.112000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"14","1700000013.113000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"15","1700000014.114000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"4","40015","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40015 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"16","1700000015.115000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"17","1700000016.116000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"18","1700000017.117000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"5","40018","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40018 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"19","1700000018.118000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"20","1700000019.119000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"21","1700000020.120000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"6","40021","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40021 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"22","1700000021.121000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"23","1700000022.122000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"24","1700000023.123000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"7","40024","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40024 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"25","1700000024.124000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"26","1700000025.125000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"27","1700000026.126000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"8","40027","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40027 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"28","1700000027.127000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"29","1700000028.128000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"30","1700000029.129000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"9","40030","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40030 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"31","1700000030.130000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"32","1700000031.131000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"33","1700000032.132000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"10","40033","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40033 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"34","1700000033.133000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"35","1700000034.134000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"36","1700000035.135000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"11","40036","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40036 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"37","1700000036.136000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"38","1700000037.137000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"39","1700000038.138000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"12","40039","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40039 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"40","1700000039.139000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"41","1700000040.140000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"42","1700000041.141000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"13","40042","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40042 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"43","1700000042.142000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"44","1700000043.143000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"45","1700000044.144000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"14","40045","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40045 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"46","1700000045.145000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"47","1700000046.146000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"48","1700000047.147000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"15","40048","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40048 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"49","1700000048.148000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"50","1700000049.149000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"51","1700000050.150000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"16","40051","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40051 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"52","1700000051.151000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"53","1700000052.152000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"54","1700000053.153000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"17","40054","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40054 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"55","1700000054.154000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"56","1700000055.155000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"57","1700000056.156000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"18","40057","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40057 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"58","1700000057.157000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"59","1700000058.158000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"60","1700000059.159000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"19","40060","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40060 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"61","1700000060.160000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"62","1700000061.161000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"63","1700000062.162000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"20","40063","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40063 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"64","1700000063.163000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"65","1700000064.164000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"66","1700000065.165000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"21","40066","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40066 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"67","1700000066.166000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"68","1700000067.167000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"69","1700000068.168000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"22","40069","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40069 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"70","1700000069.169000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"71","1700000070.170000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"72","1700000071.171000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"23","40072","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40072 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"73","1700000072.172000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"74","1700000073.173000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"75","1700000074.174000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"24","40075","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40075 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"76","1700000075.175000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"77","1700000076.176000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"78","1700000077.177000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"25","40078","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40078 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"79","1700000078.178000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"80","1700000079.179000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"81","1700000080.180000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"26","40081","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40081 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"82","1700000081.181000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"83","1700000082.182000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"84","1700000083.183000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"27","40084","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40084 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"85","1700000084.184000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"86","1700000085.185000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"87","1700000086.186000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"28","40087","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40087 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"88","1700000087.187000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
