trajectory_id,q0,drive,present,asa_mask,na_mask,boundary_mask,x_lut,j_lut,k_lut,steps
29,815823872,2812264683,832896267,3603820721,597039289,1221013795,2,85,255,26
30,1946423296,1132128245,1995200753,4110097233,441044356,0,2,128,123,7
31,252706825,30841925,529550361,1601849292,3478070517,992529569,14,255,0,20
32,63176720,1736301194,2747744272,601504884,2021826258,0,1,51,204,1
33,69206278,1866421394,112430502,927459028,855278588,4057126315,4,102,202,14
34,654383216,1010398719,3070695928,3114831414,1896016988,0,6,240,123,27
35,2571109889,359793689,3175188113,2086552411,2092722356,763400964,7,172,123,8
36,10487929,1605838115,1806043901,3828889618,3954058368,0,7,58,0,21
37,1174409730,3016801196,1453593142,2126986402,2116691834,533769931,2,15,204,2
38,2309243138,1385112645,2880203099,1254572550,4290518468,0,7,58,123,15
39,686034995,1102464151,954610811,3782787240,3913557525,2051309560,1,0,255,28
40,1526859017,188341899,1594054511,811329342,1700415137,0,0,90,172,9
41,2895938,3296395503,472658370,4049729211,3884401858,3426762841,5,204,51,22
42,840340588,4284584950,2125977197,3752977468,1125648787,0,7,58,123,3
43,612378282,2931345765,2780850158,2835069456,3233962305,519042514,6,255,123,16
44,635963418,44706639,1039665498,1048207209,4056878617,0,6,254,202,29
45,1074823492,2859242534,3253969254,535963133,2379659822,2295417673,10,255,58,10
46,3227520367,1274002818,3807518063,3337724224,2807281955,0,1,202,225,23
47,538224808,2228233102,1646049788,4106593469,646833673,3023388226,5,15,51,4
48,2215777280,2390981909,3860239495,1674576452,3252083501,0,9,202,60,17
49,1096896522,855049778,2038005070,1425966406,622274746,515046839,7,60,128,30
50,1402348570,436560986,1474227419,1639955676,439753222,0,6,170,240,11
51,2995017344,947146734,2997288631,85891978,4134236437,2178511980,6,170,170,24
52,3221299472,190306836,3306240336,2546232558,160590758,0,6,170,216,5
53,8398976,1403059418,113490368,2389322143,2870930161,3783743776,9,172,7,18
54,270798352,699163773,279367256,1030254122,789474316,0,7,60,204,31
55,756036624,3347880742,4017241182,3655010814,2220830509,3875218320,2,204,255,12
56,1228940097,985399933,1564518341,3060569874,2913415143,0,6,170,150,25
57,554762517,1972800048,588345813,3631651924,37115129,1970735120,5,254,225,6
58,69468809,82096491,761742233,1185112185,3480406556,0,1,0,15,19
59,2431455392,1678670346,2532145840,3714873183,4102650686,2813433088,2,90,90,32
60,2147496162,195141020,3238801634,4206393390,4279228974,0,15,240,58,13
61,73401505,4068487313,1332393633,3175497495,2976247042,2241813910,3,170,225,26
62,753447456,1680015643,1038660322,1739073906,3499965614,0,4,51,0,7
63,205447208,3770039330,1279195695,4191546191,3271739829,4153798694,3,172,255,20
64,61179424,1254432662,934129568,2923295543,1087709136,0,5,128,51,1
65,671096336,1006140026,2137275965,1602925523,361949929,2278573833,3,240,216,14
66,555031608,4144958192,589127546,1496137952,3864083008,0,5,170,0,27
67,83886086,373534358,2408123758,1142907587,997177009,3441003026,1,123,90,8
68,4206721,1900145951,676918213,2051332992,3147712849,0,10,216,51,21
69,272696579,935685058,2539226615,3717201088,2757089407,247228845,6,204,225,2
70,3768604696,898478766,3936376893,2982325972,863003982,0,9,216,150,15
71,617169921,2944540346,904906337,412599539,3814295712,382364158,0,102,90,28
72,2191151200,3518832002,2663314785,1973788471,1922620889,0,1,170,254,9
73,1778405706,4261556198,1782601038,3206807439,2456420606,672705473,0,254,172,22
74,2165834342,2295371495,2165917303,38197553,1207073402,0,8,240,58,3
75,3095697923,3216378286,4174757683,3997087534,1088623357,3393912453,6,85,60,16
76,362807622,72418780,367203782,1884414426,4030994868,0,6,58,51,29
77,2224177416,29421403,2243084585,1548407592,241712810,3274449047,1,172,150,10
78,2334466793,3602904444,3945080553,801976846,2723269012,0,2,58,85,23
79,1616978307,3975443573,2088086431,3200258126,2428613526,4181508096,0,240,225,4
80,1099448404,2974459031,3382235100,1507328303,3536162839,0,7,255,7,17
81,2155877008,4113048882,2290668537,2209551911,1337550380,713832473,5,51,128,30
82,482358403,783389487,2632660103,3302119374,3363085188,0,8,128,204,11
83,1663565856,3957998134,1803502304,2846148561,2323224480,4115277248,9,7,255,24
84,2694381572,2135371995,2728378902,787665076,1864759432,0,7,58,60,5
85,203476033,3132618601,2360200513,181646560,444257564,4134081737,8,254,102,18
86,817894530,3776358910,2999375022,677653517,414693561,0,10,15,202,31
87,33984592,472289102,2383402586,2752857525,1355525042,3650241340,8,0,254,12
88,1225446544,4180192212,1273683093,132708947,2040591675,0,7,150,60,25
89,262146,2673359853,1678009666,2707993947,3997124496,4151797808,6,85,225,6
90,685379910,1832213514,687748439,2778233027,496898190,0,15,58,128,19
91,13111338,1205530859,2295173226,914332988,500213938,3576029937,9,255,170,32
92,1107312672,3534156531,1110204770,1871909385,4228536938,0,3,51,58,13
93,540082688,3559422727,741438343,3044311675,2195755629,71627574,1,240,170,26
94,2149741122,3975124358,3294854082,964491754,2314638983,0,1,128,255,7
95,403964168,241538672,1505022219,3942968423,126548849,2351210554,3,60,170,20
96,35357184,713735399,3533407917,1713559246,1166500125,0,7,255,123,1
97,2281703629,397533146,3464777709,663873051,4126323033,2716752520,8,0,202,14
98,94437464,3026921842,95621338,1716386353,2015111974,0,7,225,202,27
99,1901136392,1141345263,4183371662,3460929169,4020146663,994564252,6,102,7,8
100,872486928,2131553835,3162848023,236499955,2702072161,0,9,0,102,21
101,3179024,61185069,657623764,172877172,2300719264,3072846704,6,102,150,2
102,427819012,2381180327,432218453,1166052494,839830002,0,5,7,172,15
103,838897202,2877098099,1981390774,1723807544,3204467340,29430460,2,240,254,28
104,1229193249,2299602422,1231441257,4153690175,1020073557,0,0,51,0,9
105,2147483776,44482097,2668707049,1379988400,2720727384,2280790489,7,216,58,22
106,1134053926,395400283,3483191862,1184317395,215933060,0,1,172,255,3
107,134513928,408337737,966042984,41935009,3477989912,4245688175,12,0,172,16
108,4587912,2913911354,351686584,2184412790,2609574379,0,14,0,255,29
109,16839053,2703275358,2702570413,2648893351,1223640595,262801714,10,0,150,10
110,1896875561,2961411757,4254414441,2419468465,1255897738,0,3,60,15,23
111,2398560,987314132,1478925689,2815812539,2700282535,1753879836,15,240,7,4
112,1074792556,771433785,1618352252,2755426720,3552606484,0,0,102,90,17
113,3024363523,2035982571,4115965067,2948025738,2607614849,1575707228,10,7,58,30
114,3825239120,1895689255,4283881043,1761551919,1359486419,0,1,172,255,11
115,25364704,3790985546,2244160498,2962920790,1369556476,1888814185,5,204,7,24
116,2268891137,3829985955,2269022615,2611372147,3233974048,0,7,240,240,5
117,3492120092,3065335465,3509452637,3414730880,2766232317,185761579,15,51,90,18
118,2769028648,3211949684,2938963496,1818297082,1879874940,0,12,170,170,31
119,540154884,1731691218,875715620,575150421,410719195,3791890139,2,225,128,12
120,79696912,1242342191,616568660,3028701994,1481463314,0,6,255,128,25
121,4281875,735842989,3552704223,3660174458,779450260,1683055855,14,150,255,6
122,854729352,636084906,4076272569,1857003635,515418587,0,8,0,172,19
123,1275348992,1077971837,2123648914,2467629989,3385063819,3376411561,1,202,102,32
124,7733778,319616217,1098332691,968889445,1601780772,0,1,51,170,13
125,536912130,1333953430,2689708958,4000008980,3672912119,378073475,10,255,240,26
126,1082032,3130642124,1496365746,1519462935,1547272365,0,12,170,255,7
127,135356475,3147203907,772923711,437094624,2446728490,254012958,9,51,255,20
128,3221372977,3174749492,3758506293,1190969260,3484547858,0,6,202,254,1
129,406914317,631262780,952477117,3670220655,1825888305,3467814638,7,172,58,14
130,2152403130,4031217131,2555056314,2596568558,2777352504,0,14,0,204,27
131,635830273,2499559189,803702027,780569273,3930302019,3349009839,6,255,0,8
132,1144540433,3047482628,3602472725,692093800,703989291,0,14,225,90,21
133,778052520,496046888,3220480937,751869819,8628389,3498351765,9,102,255,2
134,138553636,3606099698,147062068,3271468409,4067185599,0,15,172,0,15
135,2162174982,3368194044,4041485662,1622438603,1415648168,905292340,12,102,204,28
136,2156331372,786782442,3368525164,1080488775,3091034432,0,6,172,172,9
137,1654202368,228270276,4139508064,4032642490,1223225204,3203451444,1,170,254,22
138,1057410,4181812620,1674669763,3882758103,1936834730,0,5,172,225,3
139,1174732801,1678915336,1581760691,803317036,1479882017,2348636344,14,0,204,16
140,3221307428,530863904,3511280958,1662786765,2097660933,0,6,60,0,29
141,58828833,2722680868,2275519013,1287806815,3055277980,3656070966,1,0,123,10
142,5227169,2598637455,2247090865,2831711028,2840392116,0,7,128,85,23
143,139987169,1942310828,259766757,2789906935,1777349726,516620887,0,255,172,4
144,721453512,3942909709,2870973400,1787143112,2124672105,0,8,90,51,17
145,12731467,1333020945,418596427,4049771484,1170964894,1984571788,7,102,51,30
146,2689171474,1297278810,3016479859,3146199273,3940143631,0,4,51,0,11
147,1231184321,810542789,3455216067,1636594854,1272809594,243450296,4,123,0,24
148,1074661424,2307163389,3911142321,4094587428,3316642165,0,1,216,150,5
149,2167407904,2538244214,2503136559,3611690424,2811789690,1682440744,7,0,225,18
150,536876066,4200351085,581655735,3089599394,2673396126,0,2,7,0,31
151,3963617880,2304836579,3991495644,2144761818,1718443565,4285874705,14,202,7,12
152,134546432,1611009082,440751104,3903895692,967049431,0,2,58,172,25
153,1581932897,3876078312,2135844841,3836012296,3029757666,1932053514,10,0,90,6
154,33620737,1982441558,236788495,3429056237,4142285804,0,4,0,170,19
155,992089108,94856446,1004713047,3668554403,653272111,3168236280,1,172,170,32
156,75650666,3097672547,1170921066,2286715103,3813050138,0,2,102,225,13
157,19669026,2489224899,1093429303,2597457942,4266263624,2053446942,15,240,216,26
158,321652800,575904021,2469153216,809711439,3426762379,0,9,7,128,7
159,479436076,2535567388,2626936686,2258490013,2378504507,1637908378,14,216,170,20
160,950031140,1955837931,2091799477,672943116,566109338,0,6,0,0,1
161,144851266,2906337954,716435826,2236094828,2337566531,3255786811,14,172,255,14
162,335757312,3031988596,2625856669,1134070686,654325363,0,6,128,15,27
163,3391094784,148478246,3660449040,3273376975,133476168,3211309908,7,123,240,8
164,1220903942,1569004394,2144710119,3093027751,2729091277,0,9,172,7,21
165,1643121185,107203436,3958385523,1976002640,3787614094,902244496,3,255,255,2
166,604340235,3196788763,611305995,600552892,3673507872,0,0,172,255,15
167,135184,1466735382,1755452820,3329358772,2986272039,1073169610,14,216,172,28
168,337777217,3577006773,1567020633,1199659822,759123947,0,3,240,170,9
169,44173344,2429309143,49432676,1883329850,1194916453,3673648861,15,254,202,22
170,16787458,3301211190,2179087394,3337619990,2681838148,0,10,58,51,3
171,2152112144,402910528,2287464638,3449055769,322132228,4140337158,8,123,255,16
172,210788352,3085256855,230584258,3371218905,2502352344,0,7,7,170,29
173,1078216992,708530403,3695594465,3564837390,1806741423,4276744778,0,255,172,10
174,2147517441,1550873678,2452526121,937718776,119974859,0,12,216,102,23
175,151257218,2651283325,1804898978,1103279465,1258265740,193795458,4,102,0,4
176,85000960,3872513237,95765366,2645474395,3577878265,0,6,216,216,17
177,614635012,4012765870,754104220,471834651,2997240774,3816833440,2,255,172,30
178,32113422,356008776,1374383886,532513129,1174811883,0,9,51,172,11
179,135417985,914823131,4172706201,3761903436,825074220,2199096259,6,7,172,24
180,683266048,3535310480,2835075548,1865136884,1900857468,0,7,85,216,5
181,536977540,2142651482,3021582998,3430313614,2310102724,2890705258,4,102,0,18
182,13226882,3855294797,1021180910,1030324216,3103321739,0,2,15,0,31
183,2182089386,341780432,2987929514,1466687857,902180083,2952292736,7,0,102,12
184,1075847302,3497372144,1809917638,1301685683,1383640970,0,4,225,202,25
185,8605969,2488844564,209934617,267816952,3660877161,306498980,2,85,60,6
186,3842115012,167227346,3846410228,574918680,4226794714,0,8,15,240,19
187,16787538,2007273335,1431845074,2451538782,2797841600,781989096,8,170,255,32
188,20974249,1869574314,3276938159,20626343,1945705960,0,14,90,172,13
189,3787595944,2708599983,3924175278,681333819,2480165254,1415810132,7,204,0,26
190,1209557600,581532215,3392692833,2473187450,2333060632,0,1,150,170,7
191,22307464,1580241809,870119049,3630922219,2111662964,2680126688,6,255,216,20
192,2351043232,1302030397,2922812083,1074777452,3848220828,0,4,90,0,1
193,354983937,1667000873,523952411,3871133161,3331000430,1691777427,4,170,150,14
194,2416541703,1649630988,4103965223,2438931264,2779308216,0,14,90,51,27
195,542397209,2057857894,2692141849,2838415133,2304589719,3142029167,6,172,170,8
196,2419199072,3844662329,3493727858,1816030976,2948997552,0,6,240,123,21
197,1090519104,1828597379,1932042329,4236250867,417807921,1711239977,6,240,172,2
198,2540212482,2618627538,3085955978,3366205114,3719985813,0,6,254,7,15
199,1645642275,464636147,1981191795,234292781,420772433,607330943,5,51,0,28
200,10485832,2728976446,834257096,3591638005,732913839,0,6,123,102,9
201,671156292,2872796047,2865301612,1004343928,2130992724,3531938462,8,170,90,22
202,402997265,2810228364,439706197,1635153648,2289574809,0,7,254,204,3
203,1476732161,1448442552,3639420769,3857083394,3608937884,4237642003,15,255,172,16
204,1512671628,2641360010,1579780604,463966905,2217992461,0,1,255,60,29
205,545386052,328041203,931262020,2224217373,1899768381,2039566402,6,0,15,10
206,184553480,4113897332,4012126536,3354715133,1595300711,0,10,0,102,23
207,1096814630,660975875,1465987623,1150448545,3752328834,2595963609,15,202,172,4
208,1107771910,1310680204,1652018702,3807544208,2796173373,0,10,60,60,17
209,155781376,2855973365,3687546642,855582537,2354849570,4100051734,10,216,240,30
210,168374961,1944906582,715748025,2258018833,4038544172,0,4,7,255,11
211,1212176904,4141767164,3900308266,4223180174,1462026845,1370638328,15,51,172,24
212,771752112,2988154063,775956656,2381039332,2426994553,0,12,123,7,5
213,277481986,3157681485,294271770,746809026,998476394,2573339098,9,255,202,18
214,171966768,79731142,792863028,2457135908,4162317437,0,9,172,58,31
215,3360178176,3570370085,4007555204,783115382,4223807495,1433408250,0,172,128,12
216,84942848,3153942046,1697687560,3614322257,855376374,0,14,123,170,25
217,713052178,190015432,2944455190,2317310428,4066175819,4069140768,7,0,0,6
218,810672640,3799533984,2020732416,3853481063,2842026854,0,6,90,150,19
219,614484,963694468,3063508317,3738773140,2442588923,3528900703,9,255,85,32
220,672736002,125407277,3088691114,2945934970,3753033435,0,6,90,85,13
221,672359616,275372124,2903991752,1025617743,3662942761,2520590608,12,123,172,26
222,11011600,3203539697,2981639959,3465163552,2636048824,0,9,225,254,7
223,2568421418,876593182,2639759534,3108014457,3291444674,4040931208,6,170,150,20
224,68716553,2994934619,2367196169,3610703401,634770387,0,8,7,240,1
225,613695492,561299786,613867782,657052255,4072085337,1550007054,7,225,60,14
226,286524480,4187854259,1540646377,3905821083,3395219647,0,6,204,150,27
227,1073891462,668578645,2014469015,2445612461,1712884224,228969904,7,204,128,8
228,139340,3495013885,1692543052,2432662832,1657223333,0,4,7,255,21
229,2757235520,1791886303,3858371417,24154219,2799584885,4233530524,5,255,216,2
230,1644726579,4036761467,1657716091,982513216,862231300,0,5,204,90,15
231,547750244,1985851648,2074478566,1917246025,3107103523,3880035098,4,150,85,28
232,3310425088,3815992638,3487243453,3830040516,279664062,0,1,128,255,9
233,1207959557,2841420623,1497399247,2597545321,727358360,1513055602,14,255,90,22
234,305866257,405434946,1463547793,2319674287,3528675726,0,8,204,85,3
235,942703008,2276401131,2096731120,2137991428,501088893,4285332659,2,102,90,16
236,2181320352,1955864399,2986790817,3084520569,279884497,0,4,255,60,29
237,1296107548,104526055,4251289790,4059165968,623541422,1338071056,14,0,255,10
238,281412644,1728839391,2462569717,371099515,2787320175,0,10,0,216,23
239,134251082,3404511277,1782678222,4099574349,1012876127,3156247211,4,254,90,4
240,151294552,3930791961,429241210,2908932693,3913380803,0,7,255,85,17
241,135929893,2752446598,706682981,2053959084,2156874688,1819095416,2,255,255,30
242,1828749449,484770798,1839847049,613724557,1349198325,0,10,128,150,11
243,2417001036,3550878186,3071927005,8626451,2817543379,4123399011,8,58,128,24
244,1486897154,3873351210,3636096010,3920134625,3648313323,0,0,102,216,5
245,29427794,43056692,1104252019,779829497,1110328749,2362892317,3,172,202,18
246,3255304704,3429657888,4002951829,2092486133,3147189611,0,6,240,15,31
247,8736931,408746682,3834597539,3530595148,2577982024,2749843505,6,58,202,12
248,1091068712,1101783773,1698625516,1872032021,2355478391,0,8,128,172,25
249,268501256,1900700587,285321484,2693762198,2686413854,1989002889,6,202,255,6
250,3306431521,3337892215,3348898861,1054672435,277652249,0,4,90,255,19
251,205785162,2091555945,208071534,4207985838,2451008476,367150833,7,170,128,32
252,738197905,2658437139,757697939,345555994,4184833617,0,1,254,254,13
253,268993024,2573843222,2569593600,3805989146,349555222,441791492,2,150,240,26
254,13459522,32402525,214788307,2587458680,1924137667,0,14,170,85,7
255,1147273454,2942886819,1718754302,1138051385,3415069337,3753655254,4,102,172,20
256,621330753,2878815659,2816273731,1954806948,86177924,0,10,202,255,1
