lane,initial_word,initial_q,jitter,j,k,north,axis,kinematic,blend_known,dr,dp,alpha,interval,profile,axis_known,frame_known,increment_known
114,2754193381,0,3026862089,0,1,0,1,0,1,-3.5,-0.25,-1.625,0.125,0,1,1,1
115,1426834056,0,2611372296,1,1,1,1,0,1,-2.5,3.875,1.5,0.125,1,1,1,1
116,0,1,1299550931,0,0,0,0,1,1,0,0,-0.375,0.125,0,1,1,1
117,1929601593,1,2517063769,1,0,1,0,1,1,0,1,-0.125,0.125,1,1,1,1
118,4122457101,1,2301968083,0,1,0,1,1,1,-1,0,-1.5,0.125,0,1,1,1
119,1863537623,1,848771526,1,1,1,1,1,1,-0.25,-0.25,0.625,0.125,1,1,1,1
120,2637257277,0,1721355491,0,0,0,0,0,1,-1.375,-0.25,1.625,0.125,0,1,1,1
121,809694785,0,1790018860,1,0,1,0,0,1,0.375,3.25,0.125,0.125,1,1,1,1
122,2555391294,0,327671540,0,1,0,1,0,1,-3.125,-1.375,-0.125,0.125,0,1,1,1
123,974141543,0,776449909,1,1,1,1,0,1,1.375,3.5,-1.625,0.125,1,1,1,1
124,3436532409,1,1258818580,0,0,0,0,1,0,3.5,-0.5,-1.25,0.125,0,1,1,1
125,0,1,1127557281,1,0,1,0,1,1,0.625,2.25,0.75,0.125,1,1,1,1
126,1912855244,1,685024205,0,1,0,1,1,1,2.25,-1.75,1.25,0.125,0,1,1,1
127,2753194109,1,1158518618,1,1,1,1,1,1,-2.25,0.375,1.625,0.125,1,1,1,1
128,1339353214,0,3597906792,0,0,0,0,0,1,-1.5,0,-0.375,0.125,0,1,1,1
129,4242420781,0,4175724105,1,0,1,0,0,1,2.625,-0.625,1.25,0.125,1,1,1,1
130,2997959713,0,1118938667,0,1,0,1,0,1,-1,3.875,-0.875,0.125,0,1,1,1
131,3409870158,0,1853646931,1,1,1,1,0,1,2.5,2.75,1.5,0.125,1,1,1,1
132,2798717907,1,2680185192,0,0,0,0,1,1,3.875,-0.25,-0.125,0.125,0,1,1,1
133,442025496,1,2328034785,1,0,1,0,1,1,0.75,-3.25,1.25,0.125,1,1,1,1
134,0,1,1296143606,0,1,0,1,1,1,1.25,-1.875,1.5,0.125,0,1,1,1
135,2715256563,1,3927875760,1,1,1,1,1,1,-2.625,3.75,0.5,0.125,1,1,1,1
136,1241482411,0,2471131873,0,0,0,0,0,1,-0.625,-2.375,-1.625,0.125,0,1,1,1
137,832756596,0,316555321,1,0,1,0,0,1,1.5,-1.125,1.375,0.125,1,1,1,1
138,4293789178,0,3524684063,0,1,0,1,0,1,0.75,2.75,0.375,0.125,0,1,1,1
139,254699714,0,3454712101,1,1,1,1,0,1,3,-3.875,0.625,0.125,1,1,1,1
140,1674917312,1,3358076763,0,0,0,0,1,1,0.75,-0.125,-1.625,0.125,0,1,1,1
141,2030043568,1,1321877237,1,0,1,0,1,1,2.875,-1.5,1.125,0.125,1,1,1,1
142,835827342,1,3374878416,0,1,0,1,1,1,1,1.75,-1.875,0.125,0,1,1,1
143,0,1,147068859,1,1,1,1,1,1,-3.5,2.375,1.875,0.125,1,1,1,1
144,1358684553,0,4186929340,0,0,0,0,0,1,0.625,1,-0.5,0.125,0,1,1,1
145,2996886525,0,588558702,1,0,1,0,0,1,0,0,-1.375,0.125,1,1,1,1
146,2586068081,0,1078814549,0,1,0,1,0,1,0,1,1.875,0.125,0,1,1,1
147,2107716082,0,1547165056,1,1,1,1,0,1,-1,0,1.75,0.125,1,1,1,1
148,3360648904,1,620037902,0,0,0,0,1,1,3.375,1.625,-1.5,0.125,0,1,1,1
149,3171216318,1,3289299981,1,0,1,0,1,1,-1.625,-3,0.25,0.125,1,1,1,1
150,4150985211,1,3833745856,0,1,0,1,1,1,-1.625,-0.25,-0.5,0.125,0,1,1,1
151,2179953929,1,4204929091,1,1,1,1,1,1,3.75,-3.75,1,0.125,1,1,1,1
152,0,0,716425519,0,0,0,0,0,1,-1.375,-1.625,-0.5,0.125,0,1,1,1
