lane,initial_word,initial_q,jitter,j,k,north,axis,kinematic,blend_known,dr,dp,alpha,interval,profile,axis_known,frame_known,increment_known
114,2754193381,0,3026862089,0,1,0,1,0,1,-3.5,-0.25,-1.625,0.125,0,1,1,1
115,1426834056,0,2611372296,1,1,1,1,0,1,-2.5,3.875,1.5,0.125,1,1,1,1
116,1605000130,1,1299550931,0,0,0,0,1,1,0,0,-0.375,0.125,0,1,1,1
117,1929601593,1,2517063769,1,0,1,0,1,1,0,1,-0.125,0.125,1,1,1,1
118,4122457101,1,2301968083,0,1,0,1,1,1,-1,0,-1.5,0.125,0,1,1,1
119,1863537623,1,848771526,1,1,1,1,1,1,-0.25,-0.25,0.625,0.125,1,1,1,1
120,2637257277,0,1721355491,0,0,0,0,0,1,-1.375,-0.25,1.625,0.125,0,1,1,1
121,809694785,0,1790018860,1,0,1,0,0,1,0.375,3.25,0.125,0.125,1,1,1,1
122,2555391294,0,327671540,0,1,0,1,0,1,-3.125,-1.375,-0.125,0.125,0,1,1,1
123,974141543,0,776449909,1,1,1,1,0,1,1.375,3.5,-1.625,0.125,1,1,1,1
124,3436532409,1,1258818580,0,0,0,0,1,0,3.5,-0.5,-1.25,0.125,0,1,1,1
125,1089323980,1,1127557281,1,0,1,0,1,1,0.625,2.25,0.75,0.125,1,1,1,1
126,1912855244,1,685024205,0,1,0,1,1,1,2.25,-1.75,1.25,0.125,0,1,1,1
127,2753194109,1,1158518618,1,1,1,1,1,1,-2.25,0.375,1.625,0.125,1,1,1,1
128,1339353214,0,3597906792,0,0,0,0,0,1,-1.5,0,-0.375,0.125,0,1,1,1
129,4242420781,0,4175724105,1,0,1,0,0,1,2.625,-0.625,1.25,0.125,1,1,1,1
130,2997959713,0,1118938667,0,1,0,1,0,1,-1,3.875,-0.875,0.125,0,1,1,1
131,3409870158,0,1853646931,1,1,1,1,0,1,2.5,2.75,1.5,0.125,1,1,1,1
132,2798717907,1,2680185192,0,0,0,0,1,1,3.875,-0.25,-0.125,0.125,0,1,1,1
133,442025496,1,2328034785,1,0,1,0,1,1,0.75,-3.25,1.25,0.125,1,1,1,1
134,4138639062,1,1296143606,0,1,0,1,1,1,1.25,-1.875,1.5,0.125,0,1,1,1
135,2715256563,1,3927875760,1,1,1,1,1,1,-2.625,3.75,0.5,0.125,1,1,1,1
136,1241482411,0,2471131873,0,0,0,0,0,1,-0.625,-2.375,-1.625,0.125,0,1,1,1
137,832756596,0,316555321,1,0,1,0,0,1,1.5,-1.125,1.375,0.125,1,1,1,1
138,4293789178,0,3524684063,0,1,0,1,0,1,0.75,2.75,0.375,0.125,0,1,1,1
139,254699714,0,3454712101,1,1,1,1,0,1,3,-3.875,0.625,0.125,1,1,1,1
140,1674917312,1,3358076763,0,0,0,0,1,1,0.75,-0.125,-1.625,0.125,0,1,1,1
141,2030043568,1,1321877237,1,0,1,0,1,1,2.875,-1.5,1.125,0.125,1,1,1,1
142,835827342,1,3374878416,0,1,0,1,1,1,1,1.75,-1.875,0.125,0,1,1,1
143,1243239826,1,147068859,1,1,1,1,1,1,-3.5,2.375,1.875,0.125,1,1,1,1
144,1358684553,0,4186929340,0,0,0,0,0,1,0.625,1,-0.5,0.125,0,1,1,1
145,2996886525,0,588558702,1,0,1,0,0,1,0,0,-1.375,0.125,1,1,1,1
146,2586068081,0,1078814549,0,1,0,1,0,1,0,1,1.875,0.125,0,1,1,1
147,2107716082,0,1547165056,1,1,1,1,0,1,-1,0,1.75,0.125,1,1,1,1
148,3360648904,1,620037902,0,0,0,0,1,1,3.375,1.625,-1.5,0.125,0,1,1,1
149,3171216318,1,3289299981,1,0,1,0,1,1,-1.625,-3,0.25,0.125,1,1,1,1
150,4150985211,1,3833745856,0,1,0,1,1,1,-1.625,-0.25,-0.5,0.125,0,1,1,1
151,2179953929,1,4204929091,1,1,1,1,1,1,3.75,-3.75,1,0.125,1,1,1,1
152,917652540,0,716425519,0,0,0,0,0,1,-1.375,-1.625,-0.5,0.125,0,1,1,1
153,1909291476,0,463516278,1,0,1,0,0,1,2.875,-2.125,-1.25,0.125,1,1,1,1
154,1206798009,0,3316622079,0,1,0,1,0,1,2.75,-3.625,1.375,0.125,0,1,1,1
155,1267413704,0,3328868504,1,1,1,1,0,0,3.25,-1.25,-1.875,0.125,1,1,1,1
156,2290664114,1,1999973989,0,0,0,0,1,1,0.375,-2,0.875,0.125,0,1,1,1
157,622021927,1,3978358003,1,0,1,0,1,1,0.125,1.375,0,0.125,1,1,1,1
158,1108621064,1,3890191742,0,1,0,1,1,1,1.5,-3.625,0.5,0.125,0,1,1,1
159,490933646,1,4047159377,1,1,1,1,1,1,-3,3,-1,0.125,1,1,1,1
160,595976386,0,2416221596,0,0,0,0,0,1,-1.75,-3.375,0.5,0.125,0,1,1,1
161,3443708668,0,2728457727,1,0,1,0,0,1,-0.125,2,0.125,0.125,1,1,1,1
162,697865602,0,1323811386,0,1,0,1,0,1,-0.25,-0.125,-0.875,0.125,0,1,1,1
163,3268210430,0,2878757315,1,1,1,1,0,1,3.75,-3.875,0.375,0.125,1,1,1,1
164,3807501146,1,3632865267,0,0,0,0,1,1,-3.75,-2.625,1.125,0.125,0,1,1,1
165,2958697734,1,3164134463,1,0,1,0,1,1,-1.25,1.875,1.375,0.125,1,1,1,1
166,1112530579,1,4160028135,0,1,0,1,1,1,0.875,-2.875,-1.375,0.125,0,1,1,1
167,3819104529,1,1811341887,1,1,1,1,1,1,1.875,0.875,0.75,0.125,1,1,1,1
168,1053486624,0,2031203340,0,0,0,0,0,1,3.625,-0.375,1.25,0.125,0,1,1,1
169,2248349855,0,3084145811,1,0,1,0,0,1,-1,-0.375,1.125,0.125,1,1,1,1
170,1067243538,0,3398233487,0,1,0,1,0,1,-2.625,-3,0.625,0.125,0,1,1,1
171,3232825200,0,118752060,1,1,1,1,0,1,2.75,-3.875,0.875,0.125,1,1,1,1
172,385528945,1,250917966,0,0,0,0,1,1,-0.75,-3.125,-0.25,0.125,0,1,1,1
173,2040465519,1,2016291075,1,0,1,0,1,1,-1.875,1.625,-1,0.125,1,1,1,1
174,1203661090,1,3160995043,0,1,0,1,1,1,0,0,1,0.125,0,1,1,1
175,2349200276,1,1358911604,1,1,1,1,1,1,0,1,-1,0.125,1,1,1,1
176,2958348123,0,749935189,0,0,0,0,0,1,-1,0,-1.25,0.125,0,1,1,1
177,3646469556,0,1906101407,1,0,1,0,0,1,-1.75,3.875,-0.25,0.125,1,1,1,1
178,1379384455,0,1438876395,0,1,0,1,0,1,3,3.875,-0.125,0.125,0,1,1,1
179,265182729,0,2771423686,1,1,1,1,0,1,0,-2.75,0.25,0.125,1,1,1,1
180,552668835,1,1302037853,0,0,0,0,1,1,1.25,-2.25,1.25,0.125,0,1,1,1
181,374633420,1,3308774317,1,0,1,0,1,1,0.75,1.5,1.875,0.125,1,1,1,1
182,3357092368,1,1949936045,0,1,0,1,1,1,1.5,-2.875,0.125,0.125,0,1,1,1
183,2098624577,1,414145704,1,1,1,1,1,1,2.25,-2,1.25,0.125,1,1,1,1
184,1157300193,0,2221595839,0,0,0,0,0,1,-3.625,0.125,-0.625,0.125,0,1,1,1
185,2509310939,0,4084741902,1,0,1,0,0,1,-3.25,-0.25,-0.875,0.125,1,1,1,1
186,1195469257,0,3791687211,0,1,0,1,0,0,-1.875,-0.125,1.125,0.125,0,1,1,1
187,1856974969,0,2360261249,1,1,1,1,0,1,-1,-0.875,0.625,0.125,1,1,1,1
188,3625801298,1,1569573673,0,0,0,0,1,1,1.375,1.125,-1.25,0.125,0,1,1,1
189,124891788,1,2474834866,1,0,1,0,1,1,-0.75,0,1.125,0.125,1,1,1,1
190,2152149661,1,177880442,0,1,0,1,1,1,2.125,-3.625,-1.875,0.125,0,1,1,1
191,1411269400,1,384473550,1,1,1,1,1,1,-0.5,0,-1.125,0.125,1,1,1,1
192,3884178370,0,2584043914,0,0,0,0,0,1,-1.625,-0.375,-0.75,0.125,0,1,1,1
193,706518097,0,1323136774,1,0,1,0,0,1,0.5,0.875,0.375,0.125,1,1,1,1
194,3041348400,0,1456949167,0,1,0,1,0,1,0.625,-0.125,-1.75,0.125,0,1,1,1
195,408115603,0,797948088,1,1,1,1,0,1,-2.875,-3.25,-1,0.125,1,1,1,1
196,1604520687,1,370188971,0,0,0,0,1,1,-0.125,1.5,0.375,0.125,0,1,1,1
197,2681290178,1,4131797188,1,0,1,0,1,1,1.75,3.875,0.125,0.125,1,1,1,1
198,1067392340,1,1886232871,0,1,0,1,1,1,0.25,2.125,-1.625,0.125,0,0,1,1
199,3577741251,1,2879822605,1,1,1,1,1,1,-2.625,2.375,-0.75,0.125,1,1,0,1
200,2889539837,0,2917560458,0,0,0,0,0,1,-3,2.875,0.375,0.125,0,1,1,0
201,3342565997,0,2288209518,1,0,1,0,0,1,-0.5,-2.5,1.875,0,1,1,1,1
202,2452879003,0,1006259703,0,1,0,1,0,1,3.25,0.25,-1.125,0.125,0,1,1,1
203,645679784,0,3397542985,1,1,1,1,0,1,0,0,-0.125,0.125,1,1,1,1
204,1875983859,1,1347357603,0,0,0,0,1,1,0,1,0.5,0.125,0,1,1,1
205,466895605,1,4102352408,1,0,1,0,1,1,-1,0,1.5,0.125,1,1,1,1
206,3130576509,1,3101112565,0,1,0,1,1,1,1.625,-3.625,1.875,0.125,0,1,1,1
207,3240383828,1,1688438292,1,1,1,1,1,1,0.875,2.5,-0.125,0.125,1,1,1,1
208,3293421052,0,2002478245,0,0,0,0,0,1,0.25,-1,1,0.125,0,1,1,1
209,2722143062,0,363171697,1,0,1,0,0,1,-3,-3,1.375,0.125,1,1,1,1
210,2294601701,0,2677833000,0,1,0,1,0,1,2.25,1.625,-1.125,0.125,0,1,1,1
211,378032579,0,1182363199,1,1,1,1,0,1,2,-2.125,-0.75,0.125,1,1,1,1
212,2782754571,1,554812810,0,0,0,0,1,1,-1.625,-3.75,-1.25,0.125,0,1,1,1
213,430094102,1,384782782,1,0,1,0,1,1,1.75,-2,1.25,0.125,1,1,1,1
214,1814359731,1,3772220333,0,1,0,1,1,1,1,-2.25,-1.125,0.125,0,1,1,1
215,2130573962,1,984233356,1,1,1,1,1,1,-2.125,-1.25,-0.875,0.125,1,1,1,1
216,3454631224,0,1136822288,0,0,0,0,0,1,2,1.375,0.75,0.125,0,1,1,1
217,1279421525,0,557987644,1,0,1,0,0,0,-1.375,1.875,0,0.125,1,1,1,1
218,777741993,0,3852207459,0,1,0,1,0,1,-1.375,0.25,1.625,0.125,0,1,1,1
219,4043652427,0,847718954,1,1,1,1,0,1,2.125,1.625,-0.25,0.125,1,1,1,1
220,3005950504,1,3991392587,0,0,0,0,1,1,-0.75,-0.75,-0.75,0.125,0,1,1,1
221,2240039039,1,2488356967,1,0,1,0,1,1,-1,1.875,1.625,0.125,1,1,1,1
222,3157295778,1,2046478464,0,1,0,1,1,1,2.125,-3.125,-0.75,0.125,0,1,1,1
223,127938086,1,3656864990,1,1,1,1,1,1,3.625,1.875,0.625,0.125,1,1,1,1
224,1731026370,0,2682016476,0,0,0,0,0,1,0.25,3.875,-1,0.125,0,1,1,1
225,2986678615,0,3570334075,1,0,1,0,0,1,-2.875,0.25,-0.5,0.125,1,1,1,1
226,3577935769,0,2652604575,0,1,0,1,0,1,-1.125,3.375,-1.375,0.125,0,1,1,1
227,3836373459,0,77674767,1,1,1,1,0,1,1,-1.125,0.5,0.125,1,1,1,1
228,2179180424,1,1027730454,0,0,0,0,1,1,0.875,-2.25,0.75,0.125,0,1,1,1
229,3564683668,1,3744726239,1,0,1,0,1,1,2.375,3.5,-1.25,0.125,1,1,1,1
230,2262121942,1,970441069,0,1,0,1,1,1,-2.375,-1.25,1.125,0.125,0,1,1,1
231,3478317688,1,2074891866,1,1,1,1,1,1,1.875,-1.875,0.25,0.125,1,1,1,1
232,1179675630,0,1906684,0,0,0,0,0,1,0,0,-0.125,0.125,0,1,1,1
233,2883478008,0,2287565725,1,0,1,0,0,1,0,1,0.25,0.125,1,1,1,1
234,1965193017,0,2852860679,0,1,0,1,0,1,-1,0,1.5,0.125,0,1,1,1
235,2792682123,0,1945731862,1,1,1,1,0,1,0,0.375,-1.25,0.125,1,1,1,1
236,3484692789,1,2028416120,0,0,0,0,1,1,3.125,3,1,0.125,0,1,1,1
237,2975015429,1,709946174,1,0,1,0,1,1,1.625,1.375,0.375,0.125,1,1,1,1
238,4059639176,1,232088529,0,1,0,1,1,1,-0.375,-2.125,-1.375,0.125,0,1,1,1
239,2110973312,1,2277063466,1,1,1,1,1,1,1.25,-3.5,1.625,0.125,1,1,1,1
240,1358814517,0,2843044287,0,0,0,0,0,1,-1.75,3.125,0.25,0.125,0,1,1,1
241,1746797978,0,2234474566,1,0,1,0,0,1,0.875,-3.75,-0.25,0.125,1,1,1,1
242,182294303,0,3947221712,0,1,0,1,0,1,-3.375,-2.5,0.75,0.125,0,1,1,1
243,2152237959,0,2308133329,1,1,1,1,0,1,-1.375,-2,1.125,0.125,1,1,1,1
244,2101117352,1,3864800637,0,0,0,0,1,1,-3.5,2.5,-0.5,0.125,0,1,1,1
245,1536284711,1,2701320928,1,0,1,0,1,1,0.75,3.125,-0.75,0.125,1,1,1,1
246,2200572846,1,2424541970,0,1,0,1,1,1,0,-3.25,-0.25,0.125,0,1,1,1
247,1860298782,1,1183820335,1,1,1,1,1,1,-0.5,-2.25,-0.75,0.125,1,1,1,1
248,1352530345,0,2758453445,0,0,0,0,0,0,3.375,0.5,-0.125,0.125,0,1,1,1
249,3856300179,0,3293733940,1,0,1,0,0,1,-1.125,2.375,1.125,0.125,1,1,1,1
250,4082339849,0,732456072,0,1,0,1,0,1,-3.75,-1.875,-1.125,0.125,0,1,1,1
251,1781907216,0,1163681124,1,1,1,1,0,1,-1,2.5,1.75,0.125,1,1,1,1
252,3275632590,1,1169585185,0,0,0,0,1,1,1.75,-3.875,-0.25,0.125,0,1,1,1
253,669325475,1,3357243426,1,0,1,0,1,1,1.125,3.375,-1.375,0.125,1,1,1,1
254,266555899,1,2627639747,0,1,0,1,1,1,1.375,0.5,-1.75,0.125,0,1,1,1
255,414685174,1,486935677,1,1,1,1,1,1,3.875,3.75,-1,0.125,1,1,1,1
256,3925637444,0,2406889750,0,0,0,0,0,1,-1.125,-2.125,0.75,0.125,0,1,1,1
257,1721419615,0,4076627867,1,0,1,0,0,1,-0.75,3.375,-1.625,0.125,1,1,1,1
258,2582868795,0,2166954992,0,1,0,1,0,1,-0.875,3.625,-1.75,0.125,0,1,1,1
259,3259414000,0,2056627425,1,1,1,1,0,1,-2.5,0.75,-0.125,0.125,1,1,1,1
260,164797154,1,3980083055,0,0,0,0,1,1,-1.75,0.5,1.875,0.125,0,1,1,1
261,2893827295,1,3335772365,1,0,1,0,1,1,0,0,-1.75,0.125,1,1,1,1
262,1747792011,1,1182864813,0,1,0,1,1,1,0,1,0.75,0.125,0,1,1,1
263,1511548683,1,918852852,1,1,1,1,1,1,-1,0,-1,0.125,1,1,1,1
264,1592133887,0,707596475,0,0,0,0,0,1,2.125,0.25,1.75,0.125,0,1,1,1
265,2017229165,0,3214158810,1,0,1,0,0,1,-2.75,-3.375,-0.375,0.125,1,1,1,1
266,379810006,0,896051337,0,1,0,1,0,1,-0.125,-1.875,1.75,0.125,0,1,1,1
267,2435231488,0,2093208564,1,1,1,1,0,1,3.75,-3.125,0.375,0.125,1,1,1,1
268,3564871006,1,1281374686,0,0,0,0,1,1,-1.625,-3.75,0.625,0.125,0,1,1,1
269,2743335772,1,1988466589,1,0,1,0,1,1,-2.125,2.875,1.875,0.125,1,1,1,1
270,3046013241,1,1291791059,0,1,0,1,1,1,2.75,3.5,1,0.125,0,1,1,1
271,3426235736,1,4016197152,1,1,1,1,1,1,-0.125,-2.75,-0.625,0.125,1,1,1,1
272,1791766099,0,3043841343,0,0,0,0,0,1,-3.25,2.5,0,0.125,0,1,1,1
273,3744590227,0,2399488177,1,0,1,0,0,1,0.5,-1.5,0.5,0.125,1,1,1,1
274,1923111179,0,2248623107,0,1,0,1,0,1,-1.875,2.875,0.125,0.125,0,1,1,1
275,77660525,0,4092602401,1,1,1,1,0,1,-1.5,1.125,-1.75,0.125,1,1,1,1
276,955465361,1,2973236674,0,0,0,0,1,1,-0.375,3.625,1.625,0.125,0,1,1,1
277,4197268874,1,2519823355,1,0,1,0,1,1,0.875,-3.5,-1.75,0.125,1,1,1,1
