epoch_id,x_m,y_m,z_m,clock_bias_m,fixture_class
91,3920052.235686578,343348.10741923953,5002854.093148124,75001.82,noiseless
92,3920051.240917495,343349.5261179783,5002854.282424138,75001.84,noiseless
93,3920050.2406848655,343350.94433871866,5002854.464680417,75001.86,noiseless
94,3920049.2374015707,343352.36229256034,5002854.643017109,75001.88,noiseless
95,3920048.2335109725,343353.78019326995,5002854.820573517,75001.9,noiseless
96,3920047.2314625024,343355.1982551448,5002855.000496749,75001.92,noiseless
97,3920046.2336871843,343356.61669087206,5002855.185910258,75001.94,noiseless
98,3920045.242573347,343358.03570940334,5002855.379882643,75001.96,noiseless
99,3920044.2604427603,343359.4555138672,5002855.585396985,75001.98,noiseless
100,3920043.2895274353,343360.87629953935,5002855.805321041,75002.0,noiseless
101,3920042.3319473253,343362.2982518916,5002856.042378591,75002.02,noiseless
102,3920041.389689141,343363.7215447387,5002856.299122224,75002.04,noiseless
103,3920040.4645865024,343365.14633850154,5002856.57790783,75002.06,noiseless
104,3920039.558301617,343366.57277860446,5002856.880871065,75002.08,noiseless
105,3920038.6723086713,343368.00099402206,5002857.209906009,75002.1,noiseless
106,3920037.8078791015,343369.4310959906,5002857.566646243,75002.12,noiseless
107,3920036.96606889,343370.8631768965,5002857.952448525,75002.14,noiseless
108,3920036.1477080127,343372.2973093534,5002858.368379233,75002.16,noiseless
109,3920035.3533921493,343373.73354547645,5002858.815203717,75002.18,noiseless
110,3920034.5834767288,343375.17191636155,5002859.293378641,75002.2,noiseless
111,3920033.8380733784,343376.612431775,5002859.803047428,75002.22,noiseless
112,3920033.1170488107,343378.0550800555,5002860.3440388255,75002.24,noiseless
113,3920032.420026152,343379.49982823094,5002860.915868614,75002.26,noiseless
114,3920031.746388709,343380.9466223477,5002861.517744449,75002.28,noiseless
115,3920031.095286133,343382.3953880098,5002862.148573775,75002.3,noiseless
116,3920030.4656429123,343383.84603112226,5002862.806974743,75002.32,noiseless
117,3920029.8561691223,343385.29843883123,5002863.491290014,75002.34,noiseless
118,3920029.26537331,343386.75248065154,5002864.1996033285,75002.36,noiseless
119,3920028.691577401,343388.2080097706,5002864.929758641,75002.38,noiseless
120,3920028.1329334606,343389.6648645152,5002865.67938167,75002.4,noiseless
121,3920027.587442162,343391.12286996684,5002866.445903619,75002.42,noiseless
122,3920027.052972762,343392.58183970966,5002867.226586842,75002.44,noiseless
123,3920026.52728439,343394.04157769284,5002868.0185522,75002.46,noiseless
124,3920026.0080484366,343395.5018801896,5002868.8188078245,75002.48,noiseless
125,3920025.4928718247,343396.9625378326,5002869.624279017,75002.5,noiseless
126,3920024.979320916,343398.42333770625,5002870.431838961,75002.52,noiseless
127,3920024.464945828,343399.88406547357,5002871.2383399755,75002.54,noiseless
128,3920023.947304915,343401.3445075183,5002872.040644958,75002.56,noisy
129,3920023.423989162,343402.8044530787,5002872.835658729,75002.58,noisy
130,3920022.8926462526,343404.26369635406,5002873.620358964,75002.6,noisy
131,3920022.351004079,343405.7220385605,5002874.391826387,75002.62,noisy
132,3920021.7968934374,343407.1792899173,5002875.147273937,75002.64,noisy
133,3920021.2282697055,343408.6352715433,5002875.884074623,75002.66,noisy
134,3920020.6432332722,343410.0898172439,5002876.599787764,75002.68,noisy
135,3920020.0400485145,343411.5427751719,5002877.292183379,75002.7,noisy
136,3920019.417161143,343412.9940093446,5002877.959264469,75002.72,noisy
137,3920018.7732137307,343414.4434010024,5002878.59928697,75002.74,noisy
138,3920018.1070592734,343415.89084979554,5002879.210777176,75002.76,noisy
139,3920017.4177726554,343417.33627478685,5002879.792546468,75002.78,noisy
140,3920016.704659887,343418.77961526014,5002880.343703189,75002.8,noisy
141,3920015.9672650434,343420.2208313271,5002880.863661552,75002.82,noisy
142,3920015.2053748174,343421.6599043258,5002881.352147493,75002.84,noisy
143,3920014.419020652,343423.0968370071,5002881.809201411,75002.86,noisy
144,3920013.6084784255,343424.5316535073,5002882.235177764,75002.88,noisy
145,3920012.774265696,343425.9643991068,5002882.630741524,75002.9,noisy
146,3920011.9171365276,343427.3951397777,5002882.996861539,75002.92,noisy
147,3920011.03807396,343428.8239615249,5002883.334800846,75002.94,noisy
148,3920010.138280184,343430.25096952624,5002883.646104058,75002.96,noisy
149,3920009.219164528,343431.67628708214,5002883.932581924,75002.98,noisy
150,3920008.2823293796,343433.1000543834,5002884.19629324,75003.0,noisy
151,3920007.3295541736,343434.5224271103,5002884.439524279,75003.02,noisy
152,3920006.362777612,343435.94357487734,5002884.664765946,75003.04,noisy
153,3920005.3840782954,343437.3636795384,5002884.874688889,75003.06,noisy
154,3920004.39565395,343438.7829333698,5002885.072116816,75003.08,noisy
155,3920003.3997994736,343440.20153714885,5002885.2599982815,75003.1,noisy
156,3920002.3988840017,343441.6196981483,5002885.441377224,75003.12,noisy
157,3920001.3953272393,343443.03762806463,5002885.619362555,75003.14,noisy
158,3920000.3915752806,343444.4555409036,5002885.7970970925,75003.16,noisy
159,3919999.390076171,343445.8736508413,5002885.977726161,75003.18,noisy
160,3919998.3932554466,343447.29217008466,5002886.1643661605,75003.2,noisy
161,3919997.4034918975,343448.71130675083,5002886.360073437,75003.22,noisy
162,3919996.423093802,343450.1312627881,5002886.567813737,75003.24,noisy
163,3919995.454275861,343451.5522319575,5002886.790432576,75003.26,noisy
164,3919994.4991370705,343452.97439789755,5002887.030626809,75003.28,noisy
165,3919993.559639749,343454.3979322889,5002887.290917683,75003.3,noisy
166,3919992.6375899315,343455.8229931389,5002887.573625648,75003.32,noisy
167,3919991.734619322,343457.2497232034,5002887.880847167,75003.34,noisy
168,3919990.8521689917,343458.6782485597,5002888.2144337725,75003.36,noisy
169,3919989.9914749805,343460.10867734725,5002888.575973568,75003.38,noisy
170,3919989.1535559455,343461.5410986871,5002888.966775353,75003.4,noisy
171,3919988.339202985,343462.97558179125,5002889.387855557,75003.42,noisy
172,3919987.5489717317,343464.4121752713,5002889.839928073,75003.44,noisy
173,3919986.7831768026,343465.85090665275,5002890.323397131,75003.46,noisy
174,3919986.0418886547,343467.29178209975,5002890.838353257,75003.48,noisy
175,3919985.324932882,343468.7347863537,5002891.384572367,75003.5,noisy
176,3919984.6318919575,343470.1798828858,5002891.961518011,75003.52,noisy
177,3919983.962109404,343471.6270142616,5002892.568346727,75003.54,noisy
178,3919983.3146963553,343473.07610271557,5002893.203916471,75003.56,noisy
179,3919982.688540436,343474.5270509273,5002893.86679803,75003.58,noisy
180,3919982.082316876,343475.9797429946,5002894.555289298,75003.6,noisy
181,3919981.494501749,343477.43404559104,5002895.267432289,75003.62,noisy
182,3919980.923387197,343478.88980929845,5002896.001032691,75003.64,noisy
183,3919980.367098495,343480.3468700997,5002896.753681803,75003.66,noisy
184,3919979.823612783,343481.80505101744,5002897.522780592,75003.68,noisy
185,3919979.290779279,343483.2641638826,5002898.305565665,75003.7,noisy
186,3919978.7663407666,343484.72401121433,5002899.099136881,75003.72,noisy
187,3919978.247956149,343486.1843881933,5002899.900486327,75003.74,noisy
188,3919977.733223842,343487.645084708,5002900.706528375,75003.76,noisy
189,3919977.219705768,343489.1058874543,5002901.514130507,75003.78,noisy
190,3919976.704951717,343490.56658206665,5002902.320144618,75003.8,noisy
191,3919976.1865238296,343492.02695525996,5002903.121438471,75003.82,noisy
192,3919975.662020953,343493.4867969606,5002903.91492699,75003.84,noisy
193,3919975.1291026343,343494.9459024054,5002904.69760309,75003.86,noisy
194,3919974.5855125044,343496.4040741878,5002905.466567718,75003.88,noisy
195,3919974.029100824,343497.8611242298,5002906.219058824,75003.9,noisy
196,3919973.457845962,343499.3168756617,5002906.952478953,75003.92,noisy
197,3919972.869874596,343500.77116458904,5002907.664421202,75003.94,noisy
198,3919972.263480429,343502.2238417301,5002908.352693269,75003.96,noisy
199,3919971.6371412384,343503.6747739077,5002909.015339355,75003.98,noisy
200,3919970.9895340856,343505.12384537974,5002909.650659709,75004.0,noisy
201,3919970.3195485356,343506.5709589957,5002910.257227609,75004.02,noisy
202,3919969.6262977496,343508.0160371673,5002910.833903616,75004.04,noisy
203,3919968.9091273476,343509.45902264357,5002911.379846964,75004.06,noisy
204,3919968.167621947,343510.8998790834,5002911.894523957,75004.08,noisy
205,3919967.4016093123,343512.33859141805,5002912.3777133,75004.1,noisy
206,3919966.6111620753,343513.77516600204,5002912.829508314,75004.12,noisy
207,3919965.7965970123,343515.20963054965,5002913.250316002,75004.14,noisy
208,3919964.9584718747,343516.6420338578,5002913.64085298,75004.16,noisy
209,3919964.09757982,343518.0724453188,5002914.002138322,75004.18,noisy
210,3919963.214941484,343519.5009542267,5002914.335483372,75004.2,noisy
211,3919962.3117947853,343520.9276688854,5002914.642478647,75004.22,noisy
212,3919961.389582554,343522.3527155261,5002914.924977937,75004.24,noisy
213,3919960.449938118,343523.7762370465,5002915.185079793,75004.26,noisy
214,3919959.494668981,343525.19839158276,5002915.425106554,75004.28,noisy
215,3919958.5257387646,343526.6193509294,5002915.647581138,75004.3,noisy
216,3919957.545247586,343528.03929882287,5002915.855201842,75004.32,noisy
217,3919956.555411077,343529.4584291059,5002916.050815378,75004.34,noisy
218,3919955.5585382446,343530.8769437904,5002916.237388428,75004.36,noisy
219,3919954.5570083996,343532.2950510391,5002916.4179780055,75004.38,noisy
220,3919953.5532473847,343533.71296308574,5002916.595700907,75004.4,noisy
221,3919952.549703336,343535.13089411444,5002916.773702573,75004.42,noisy
222,3919951.548822221,343536.54905811965,5002916.955125659,75004.44,noisy
223,3919950.5530234007,343537.96766676806,5002917.143078634,75004.46,noisy
224,3919949.5646754554,343539.38692728354,5002917.340604722,75004.48,noisy
225,3919948.586072519,343540.8070403768,5002917.550651497,75004.5,noisy
226,3919947.6194113554,343542.2281982398,5002917.7760414295,75004.52,noisy
227,3919946.666769411,343543.65058262565,5002918.019443688,75004.54,noisy
228,3919945.730084057,343545.0743630322,5002918.283347464,75004.56,noisy
229,3919944.8111332315,343546.4996950089,5002918.57003711,75004.58,noisy
230,3919943.9115176746,343547.9267186025,5002918.881569304,75004.6,noisy
231,3919943.032644935,343549.3555569574,5002919.219752508,75004.62,noisy
232,3919942.175715307,343550.7863150858,5002919.586128897,75004.64,noisy
233,3919941.341709834,343552.2190788179,5002919.981958948,75004.66,noisy
234,3919940.5313805123,343553.6539139449,5002920.408208847,75004.68,noisy
235,3919939.7452427717,343555.09086556087,5002920.865540834,75004.7,noisy
236,3919938.9835703275,343556.52995761303,5002921.354306588,75004.72,noisy
237,3919938.246392447,343557.9711926618,5002921.874543712,75004.74,noisy
238,3919937.5334936553,343559.4145518556,5002922.425975356,75004.76,noisy
239,3919936.844415889,343560.8599951191,5002923.008012989,75004.78,noisy
240,3919936.1784630734,343562.3074615536,5002923.61976227,75004.8,noisy
241,3919935.534708076,343563.75687004556,5002924.260031991,75004.82,noisy
242,3919934.912001971,343565.208120077,5002924.927345978,75004.84,noisy
243,3919934.3089855206,343566.66109272995,5002925.619957839,75004.86,noisy
244,3919933.7241027527,343568.11565187457,5002926.335868414,75004.88,noisy
245,3919933.1556165097,343569.57164552924,5002927.07284575,75004.9,noisy
246,3919932.6016258067,343571.02890737937,5002927.8284474015,75004.92,noisy
247,3919932.0600848226,343572.4872584387,5002928.600044835,75004.94,noisy
248,3919931.5288233436,343573.9465088383,5002929.384849694,75004.96,noisy
249,3919931.005568446,343575.4064597229,5002930.179941656,75004.98,noisy
250,3919930.487967208,343576.86690523865,5002930.982297612,75005.0,too_few
251,3919929.973610217,343578.3276345893,5002931.788821879,75005.02,absorbed
252,3919929.460055646,343579.78843414254,5002932.5963771185,75005.04,rank_deficient
253,3919928.94485365,343581.2490895648,5002933.401815695,75005.06,outlier
254,3919928.425570844,343582.7093879624,5002934.202011122,75005.08,four_only
255,3919927.8998146183,343584.1691200092,5002934.9938893,75005.1,channels32
