line,session_id,seq,kind,rat,clock_segment,received_elapsed_ns,received_unix_ms,source_elapsed_ns,measurement_elapsed_ns,source_time_status,age_ns,stale_by_policy,chronology_valid,duplicate_status,identity_json,source_field,metric,unit,raw_value_json,value,value_status,raw_json
6,19ad1000-0000-4000-8000-000000000001,5,cell,NR,0,1001000000000,1790000001000,1000000000000,1000000000000,valid_reported_timestamp,1000000000,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""204"",""mnc"":""99"",""nci"":68719476735,""nrarfcn"":640000,""pci"":201,""tac"":19},""kind"":""cell"",""rat"":""NR"",""subscription_id"":1}",ss_rsrq_db,ss_rsrq,dB,-11,-11,available,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""1001000000000"",""received_unix_ms"":1790000001000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""NR"",""registered"":false,""connection_status"":2,""identity"":{""mcc"":""204"",""mnc"":""99"",""nci"":68719476735,""tac"":19,""pci"":201,""nrarfcn"":640000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":-11,""ss_sinr_db"":14,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""source_timestamp_unit"":""ms"",""origin"":""cell_info_callback""}}"
6,19ad1000-0000-4000-8000-000000000001,5,cell,NR,0,1001000000000,1790000001000,1000000000000,1000000000000,valid_reported_timestamp,1000000000,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""204"",""mnc"":""99"",""nci"":68719476735,""nrarfcn"":640000,""pci"":201,""tac"":19},""kind"":""cell"",""rat"":""NR"",""subscription_id"":1}",ss_sinr_db,ss_sinr,dB,14,14,available,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""1001000000000"",""received_unix_ms"":1790000001000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""NR"",""registered"":false,""connection_status"":2,""identity"":{""mcc"":""204"",""mnc"":""99"",""nci"":68719476735,""tac"":19,""pci"":201,""nrarfcn"":640000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":-11,""ss_sinr_db"":14,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""source_timestamp_unit"":""ms"",""origin"":""cell_info_callback""}}"
6,19ad1000-0000-4000-8000-000000000001,5,cell,NR,0,1001000000000,1790000001000,1000000000000,1000000000000,valid_reported_timestamp,1000000000,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""204"",""mnc"":""99"",""nci"":68719476735,""nrarfcn"":640000,""pci"":201,""tac"":19},""kind"":""cell"",""rat"":""NR"",""subscription_id"":1}",csi_rsrp_dbm,csi_rsrp,dBm,null,,unavailable,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""1001000000000"",""received_unix_ms"":1790000001000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""NR"",""registered"":false,""connection_status"":2,""identity"":{""mcc"":""204"",""mnc"":""99"",""nci"":68719476735,""tac"":19,""pci"":201,""nrarfcn"":640000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":-11,""ss_sinr_db"":14,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""source_timestamp_unit"":""ms"",""origin"":""cell_info_callback""}}"
6,19ad1000-0000-4000-8000-000000000001,5,cell,NR,0,1001000000000,1790000001000,1000000000000,1000000000000,valid_reported_timestamp,1000000000,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""204"",""mnc"":""99"",""nci"":68719476735,""nrarfcn"":640000,""pci"":201,""tac"":19},""kind"":""cell"",""rat"":""NR"",""subscription_id"":1}",csi_rsrq_db,csi_rsrq,dB,null,,unavailable,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""1001000000000"",""received_unix_ms"":1790000001000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""NR"",""registered"":false,""connection_status"":2,""identity"":{""mcc"":""204"",""mnc"":""99"",""nci"":68719476735,""tac"":19,""pci"":201,""nrarfcn"":640000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":-11,""ss_sinr_db"":14,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""source_timestamp_unit"":""ms"",""origin"":""cell_info_callback""}}"
6,19ad1000-0000-4000-8000-000000000001,5,cell,NR,0,1001000000000,1790000001000,1000000000000,1000000000000,valid_reported_timestamp,1000000000,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""204"",""mnc"":""99"",""nci"":68719476735,""nrarfcn"":640000,""pci"":201,""tac"":19},""kind"":""cell"",""rat"":""NR"",""subscription_id"":1}",csi_sinr_db,csi_sinr,dB,null,,unavailable,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""1001000000000"",""received_unix_ms"":1790000001000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""NR"",""registered"":false,""connection_status"":2,""identity"":{""mcc"":""204"",""mnc"":""99"",""nci"":68719476735,""tac"":19,""pci"":201,""nrarfcn"":640000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":-11,""ss_sinr_db"":14,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""source_timestamp_unit"":""ms"",""origin"":""cell_info_callback""}}"
7,19ad1000-0000-4000-8000-000000000001,6,wifi,WIFI,0,1003000000000,1790000003000,1000000000000,1000000000000,valid_reported_timestamp,3000000000,False,True,cached_duplicate,"{""bssid"":""02:19:00:00:00:01"",""frequency_mhz"":5180,""kind"":""wifi""}",rssi_dbm,rssi,dBm,-55,-55,available,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":6,""kind"":""wifi"",""received_elapsed_ns"":""1003000000000"",""received_unix_ms"":1790000003000,""source_elapsed_ns"":""1000000000000"",""payload"":{""ssid"":""SYNTHETIC_TEST_AP"",""bssid"":""02:19:00:00:00:01"",""frequency_mhz"":5180,""channel_width"":2,""rssi_dbm"":-55,""capabilities"":""[SYNTHETIC][WPA2-PSK-CCMP][ESS]"",""source_timestamp_unit"":""us"",""batch_id"":""synthetic-2"",""origin"":""wifi_scan_broadcast"",""results_updated"":false,""fixture_unknown_field"":{""large_integer"":1208925819614629174706299}}}"
8,19ad1000-0000-4000-8000-000000000001,7,cell,LTE,0,1003000000000,1790000003000,1000000000000,1000000000000,valid_reported_timestamp,3000000000,False,True,cached_duplicate,"{""identity"":{""ci"":19000001,""earfcn"":1650,""mcc"":""204"",""mnc"":""99"",""pci"":101,""tac"":19},""kind"":""cell"",""rat"":""LTE"",""subscription_id"":1}",dbm,reported_power,dBm,-103,-103,available,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":7,""kind"":""cell"",""received_elapsed_ns"":""1003000000000"",""received_unix_ms"":1790000003000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""LTE"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""204"",""mnc"":""99"",""ci"":19000001,""tac"":19,""pci"":101,""earfcn"":1650},""signal"":{""dbm"":-103,""rsrp_dbm"":-103,""rsrq_db"":-12,""rssi_dbm"":-77,""timing_advance_raw"":2,""vendor_quality_unknown"":{""code"":7},""rssnr_db"":11},""source_timestamp_unit"":""ms"",""origin"":""periodic_cached_read"",""rssnr_api_sdk"":36}}"
8,19ad1000-0000-4000-8000-000000000001,7,cell,LTE,0,1003000000000,1790000003000,1000000000000,1000000000000,valid_reported_timestamp,3000000000,False,True,cached_duplicate,"{""identity"":{""ci"":19000001,""earfcn"":1650,""mcc"":""204"",""mnc"":""99"",""pci"":101,""tac"":19},""kind"":""cell"",""rat"":""LTE"",""subscription_id"":1}",rsrp_dbm,rsrp,dBm,-103,-103,available,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":7,""kind"":""cell"",""received_elapsed_ns"":""1003000000000"",""received_unix_ms"":1790000003000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""LTE"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""204"",""mnc"":""99"",""ci"":19000001,""tac"":19,""pci"":101,""earfcn"":1650},""signal"":{""dbm"":-103,""rsrp_dbm"":-103,""rsrq_db"":-12,""rssi_dbm"":-77,""timing_advance_raw"":2,""vendor_quality_unknown"":{""code"":7},""rssnr_db"":11},""source_timestamp_unit"":""ms"",""origin"":""periodic_cached_read"",""rssnr_api_sdk"":36}}"
8,19ad1000-0000-4000-8000-000000000001,7,cell,LTE,0,1003000000000,1790000003000,1000000000000,1000000000000,valid_reported_timestamp,3000000000,False,True,cached_duplicate,"{""identity"":{""ci"":19000001,""earfcn"":1650,""mcc"":""204"",""mnc"":""99"",""pci"":101,""tac"":19},""kind"":""cell"",""rat"":""LTE"",""subscription_id"":1}",rsrq_db,rsrq,dB,-12,-12,available,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":7,""kind"":""cell"",""received_elapsed_ns"":""1003000000000"",""received_unix_ms"":1790000003000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""LTE"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""204"",""mnc"":""99"",""ci"":19000001,""tac"":19,""pci"":101,""earfcn"":1650},""signal"":{""dbm"":-103,""rsrp_dbm"":-103,""rsrq_db"":-12,""rssi_dbm"":-77,""timing_advance_raw"":2,""vendor_quality_unknown"":{""code"":7},""rssnr_db"":11},""source_timestamp_unit"":""ms"",""origin"":""periodic_cached_read"",""rssnr_api_sdk"":36}}"
8,19ad1000-0000-4000-8000-000000000001,7,cell,LTE,0,1003000000000,1790000003000,1000000000000,1000000000000,valid_reported_timestamp,3000000000,False,True,cached_duplicate,"{""identity"":{""ci"":19000001,""earfcn"":1650,""mcc"":""204"",""mnc"":""99"",""pci"":101,""tac"":19},""kind"":""cell"",""rat"":""LTE"",""subscription_id"":1}",rssi_dbm,rssi,dBm,-77,-77,available,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":7,""kind"":""cell"",""received_elapsed_ns"":""1003000000000"",""received_unix_ms"":1790000003000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""LTE"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""204"",""mnc"":""99"",""ci"":19000001,""tac"":19,""pci"":101,""earfcn"":1650},""signal"":{""dbm"":-103,""rsrp_dbm"":-103,""rsrq_db"":-12,""rssi_dbm"":-77,""timing_advance_raw"":2,""vendor_quality_unknown"":{""code"":7},""rssnr_db"":11},""source_timestamp_unit"":""ms"",""origin"":""periodic_cached_read"",""rssnr_api_sdk"":36}}"
8,19ad1000-0000-4000-8000-000000000001,7,cell,LTE,0,1003000000000,1790000003000,1000000000000,1000000000000,valid_reported_timestamp,3000000000,False,True,cached_duplicate,"{""identity"":{""ci"":19000001,""earfcn"":1650,""mcc"":""204"",""mnc"":""99"",""pci"":101,""tac"":19},""kind"":""cell"",""rat"":""LTE"",""subscription_id"":1}",timing_advance_raw,timing_advance_raw,,2,,unknown_unit,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":7,""kind"":""cell"",""received_elapsed_ns"":""1003000000000"",""received_unix_ms"":1790000003000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""LTE"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""204"",""mnc"":""99"",""ci"":19000001,""tac"":19,""pci"":101,""earfcn"":1650},""signal"":{""dbm"":-103,""rsrp_dbm"":-103,""rsrq_db"":-12,""rssi_dbm"":-77,""timing_advance_raw"":2,""vendor_quality_unknown"":{""code"":7},""rssnr_db"":11},""source_timestamp_unit"":""ms"",""origin"":""periodic_cached_read"",""rssnr_api_sdk"":36}}"
8,19ad1000-0000-4000-8000-000000000001,7,cell,LTE,0,1003000000000,1790000003000,1000000000000,1000000000000,valid_reported_timestamp,3000000000,False,True,cached_duplicate,"{""identity"":{""ci"":19000001,""earfcn"":1650,""mcc"":""204"",""mnc"":""99"",""pci"":101,""tac"":19},""kind"":""cell"",""rat"":""LTE"",""subscription_id"":1}",vendor_quality_unknown,vendor_quality_unknown,,"{""code"":7}",,unknown_unit,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":7,""kind"":""cell"",""received_elapsed_ns"":""1003000000000"",""received_unix_ms"":1790000003000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""LTE"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""204"",""mnc"":""99"",""ci"":19000001,""tac"":19,""pci"":101,""earfcn"":1650},""signal"":{""dbm"":-103,""rsrp_dbm"":-103,""rsrq_db"":-12,""rssi_dbm"":-77,""timing_advance_raw"":2,""vendor_quality_unknown"":{""code"":7},""rssnr_db"":11},""source_timestamp_unit"":""ms"",""origin"":""periodic_cached_read"",""rssnr_api_sdk"":36}}"
8,19ad1000-0000-4000-8000-000000000001,7,cell,LTE,0,1003000000000,1790000003000,1000000000000,1000000000000,valid_reported_timestamp,3000000000,False,True,cached_duplicate,"{""identity"":{""ci"":19000001,""earfcn"":1650,""mcc"":""204"",""mnc"":""99"",""pci"":101,""tac"":19},""kind"":""cell"",""rat"":""LTE"",""subscription_id"":1}",rssnr_db,rssnr,dB,11,11,available,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":7,""kind"":""cell"",""received_elapsed_ns"":""1003000000000"",""received_unix_ms"":1790000003000,""source_elapsed_ns"":""1000000000000"",""payload"":{""subscription_id"":1,""rat"":""LTE"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""204"",""mnc"":""99"",""ci"":19000001,""tac"":19,""pci"":101,""earfcn"":1650},""signal"":{""dbm"":-103,""rsrp_dbm"":-103,""rsrq_db"":-12,""rssi_dbm"":-77,""timing_advance_raw"":2,""vendor_quality_unknown"":{""code"":7},""rssnr_db"":11},""source_timestamp_unit"":""ms"",""origin"":""periodic_cached_read"",""rssnr_api_sdk"":36}}"
10,19ad1000-0000-4000-8000-000000000001,9,wifi,WIFI,0,1010000000000,1790000010000,1009000000000,1009000000000,valid_reported_timestamp,1000000000,False,True,unique_timestamped_observation,"{""bssid"":""02:19:00:00:00:01"",""frequency_mhz"":5180,""kind"":""wifi""}",rssi_dbm,rssi,dBm,-56,-56,available,"{""schema"":""atomos.radio.v1"",""session_id"":""19ad1000-0000-4000-8000-000000000001"",""seq"":9,""kind"":""wifi"",""received_elapsed_ns"":""1010000000000"",""received_unix_ms"":1790000010000,""source_elapsed_ns"":""1009000000000"",""payload"":{""ssid"":""SYNTHETIC_TEST_AP"",""bssid"":""02:19:00:00:00:01"",""frequency_mhz"":5180,""channel_width"":2,""rssi_dbm"":-56,""capabilities"":""[SYNTHETIC][WPA2-PSK-CCMP][ESS]"",""source_timestamp_unit"":""us"",""batch_id"":""synthetic-3"",""origin"":""wifi_scan_broadcast"",""results_updated"":true,""fixture_unknown_field"":{""large_integer"":1208925819614629174706299}}}"
